nom,genre,composantes,je_l_ai,je_l_avais,je_le_veux,j_adore,j_aime,bon,aime_pas,deteste,hiver,printemps,ete,autone,jour,nuit
Rock the Myrrh Dries Van Noten for women and men,for women and men, - amber - warm spicy - balsamic - woody - musky - leather - aromatic - sweet - patchouli - soft spicy, 22.5564%, 3.7594%, 73.6842%, 100%, 72.8814%, 32.2034%, 15.2542%, 1.69492%, 94%, 34%, 10%, 100%, 58%, 92%
Island Lush Goldfield & Banks Australia for women and men,for women and men, - woody - warm spicy - fresh spicy - powdery - leather - aromatic - earthy - citrus, 32.7968%, 7.24346%, 59.9598%, 100%, 65.7895%, 55.2632%, 44.7368%, 15.7895%, 98.718%, 46.1538%, 25.641%, 100%, 67.9487%, 78.2051%
Honeyed Tobacco & Oud Habibi NY for women and men,for women and men, - honey - warm spicy - sweet - fresh spicy - cinnamon - aromatic - amber - tobacco - leather - coffee, 26.3889%, 5.55556%, 68.0556%, 100%, 56.5217%, 26.087%, 4.34783%, 13.0435%, 86.3636%, 36.3636%, 13.6364%, 100%, 63.6364%, 86.3636%
Abundance V 8 Map Of The Heart for women and men,for women and men, - amber - woody - citrus - warm spicy - floral - balsamic - smoky - aromatic - oud - powdery, 27.193%, 4.38597%, 68.4211%, 60%, 90%, 100%, 20%, 40%, 76.9231%, 61.5385%, 38.4615%, 92.3077%, 100%, 38.4615%
Hope Orlov Paris for women,for women, - fruity - floral - rose - musky - powdery - soft spicy - sweet - lactonic, 49.2647%, 19.1176%, 31.6176%, 64.2857%, 100%, 35.7143%, 71.4286%, 7.14286%, 15.3846%, 100%, 69.2308%, 38.4615%, 76.9231%, 23.0769%
The Best Of Me Orlov Paris for women,for women, - rose - citrus - aromatic - floral - woody - earthy - vanilla - lactonic - fruity - green, 55.1913%, 22.4044%, 22.4044%, 100%, 88.8889%, 38.8889%, 66.6667%, 5.55556%, 28.5714%, 100%, 92.8571%, 64.2857%, 78.5714%, 57.1429%
Source of Life Woman Replay for women,for women, - citrus - white floral, 34.6154%, 0%, 65.3846%, 12.5%, 100%, 0%, 0%, 0%, 50%, 100%, 75%, 25%, 100%, 50%
Splendid Vanilla Roberto Cavalli for women and men,for women and men, - vanilla - woody - earthy - powdery - patchouli - balsamic - floral - warm spicy, 25.4335%, 3.46821%, 71.0983%, 100%, 44.4444%, 5.55556%, 5.55556%, 0%, 100%, 21.4286%, 7.14286%, 92.8571%, 21.4286%, 92.8571%
Limitless Shopping Via della Spiga Trussardi for women and men,for women and men, - honey - sweet - floral - fruity - vanilla - fresh - powdery - green - fresh spicy - animalic, 45.4896%, 11.1573%, 43.3531%, 100%, 85.6115%, 27.0983%, 15.5875%, 3.11751%, 64.9852%, 82.7893%, 47.181%, 100%, 85.1632%, 35.6083%
Trussardi Uomo Levriero Limited Edition Trussardi for men,for men, - woody - aromatic - fresh spicy - warm spicy - fruity - patchouli - amber - balsamic - citrus - ozonic, 43.0894%, 13.8211%, 43.0894%, 100%, 24%, 4%, 12%, 24%, 100%, 82.1429%, 57.1429%, 96.4286%, 85.7143%, 75%
Baptisma Chapel Factory for women and men,for women and men, - citrus - lactonic - musky - white floral - fresh spicy - warm spicy - aromatic - amber - powdery - smoky, 31.0345%, 6.89655%, 62.069%, 100%, 48.4848%, 39.3939%, 21.2121%, 6.06061%, 15.3846%, 100%, 76.9231%, 46.1538%, 96.1539%, 30.7692%
Holy Stick Chapel Factory for women and men,for women and men, - warm spicy - amber - woody - aromatic - balsamic - smoky, 25.9494%, 5.06329%, 68.9873%, 97.2973%, 100%, 54.0541%, 13.5135%, 8.10811%, 80%, 42.8571%, 31.4286%, 100%, 80%, 68.5714%
Moko Maori Gri Gri Parfums for men,for men, - mossy - earthy - green - fresh - aromatic - floral - fresh spicy, 34.058%, 6.52174%, 59.4203%, 86.3636%, 100%, 13.6364%, 86.3636%, 4.54545%, 40%, 95%, 40%, 85%, 100%, 50%
Sideshow Gri Gri Parfums for women and men,for women and men, - sweet - leather - musky - amber - animalic - fruity - powdery - caramel, 31.9372%, 7.32984%, 60.733%, 78.125%, 100%, 18.75%, 46.875%, 3.125%, 100%, 90%, 70%, 100%, 95%, 85%
Tara Mantra Gri Gri Parfums for men,for men, - warm spicy - fresh spicy - aromatic - patchouli - oud - white floral - floral - metallic - woody, 46.2963%, 12.963%, 40.7407%, 100%, 70%, 15%, 35%, 5%, 61.5385%, 69.2308%, 46.1538%, 100%, 92.3077%, 69.2308%
Ukiyo-E Gri Gri Parfums for men,for men, - floral - aromatic - green - citrus - fresh - sweet - fresh spicy, 22.4576%, 7.62712%, 69.9153%, 75%, 100%, 25%, 41.6667%, 5.55556%, 34.7826%, 86.9565%, 69.5652%, 56.5217%, 100%, 30.4348%
Ajar Jardins d’Ecrivains for women and men,for women and men, - floral - sweet - woody - fruity - powdery - white floral - citrus - mossy - aquatic - warm spicy, 25.9615%, 10.5769%, 63.4615%, 65.3846%, 100%, 15.3846%, 26.9231%, 0%, 40%, 100%, 60%, 70%, 90%, 40%
Alcools Jardins d’Ecrivains for women and men,for women and men, - amber - leather - vanilla - smoky - warm spicy - aromatic - herbal - woody - balsamic, 23.2877%, 10.9589%, 65.7534%, 85.7143%, 100%, 28.5714%, 42.8571%, 0%, 100%, 11.1111%, 0%, 100%, 55.5556%, 77.7778%
Exil Jardins d’Ecrivains for women and men,for women and men, - aromatic - woody - powdery - musky - fresh spicy - warm spicy - camphor - vanilla - amber - almond, 32.2581%, 6.45161%, 61.2903%, 100%, 42.8571%, 71.4286%, 28.5714%, 0%, 33.3333%, 66.6667%, 50%, 100%, 83.3333%, 50%
George Jardins d’Ecrivains for women and men,for women and men, - amber - tobacco - balsamic - citrus - sweet - powdery - warm spicy - white floral - aromatic - floral, 34.6831%, 16.0211%, 49.2958%, 68.75%, 100%, 9.375%, 32.2917%, 1.04167%, 74.1379%, 44.8276%, 29.3103%, 100%, 68.9655%, 77.5862%
Gigi Jardins d’Ecrivains for women,for women, - white floral - tuberose - animalic - citrus, 42.7562%, 20.4947%, 36.7491%, 58.2278%, 100%, 11.3924%, 48.1013%, 2.53165%, 25%, 100%, 79.1667%, 54.1667%, 93.75%, 41.6667%
Howl Jardins d’Ecrivains for women and men,for women and men, - warm spicy - amber - patchouli - cinnamon - aromatic - woody - fresh spicy - lavender - musky - earthy, 29.5082%, 8.19672%, 62.2951%, 81.8182%, 100%, 9.09091%, 27.2727%, 0%, 100%, 57.1429%, 28.5714%, 100%, 42.8571%, 85.7143%
Junky Jardins d’Ecrivains for women and men,for women and men, - aromatic - woody - powdery - green - violet - earthy - cannabis - iris - amber - smoky, 30.9091%, 15.9091%, 53.1818%, 76.7123%, 100%, 12.3288%, 71.2329%, 2.73973%, 32.0755%, 96.2264%, 60.3774%, 86.7925%, 100%, 41.5094%
L’Eau De Kakuzo (Jade Dew) Jardins d’Ecrivains for women and men,for women and men, - green - fresh - floral - aromatic - soft spicy - woody - herbal - ozonic, 36%, 12%, 52%, 66.6667%, 66.6667%, 100%, 0%, 0%, 33.3333%, 66.6667%, 66.6667%, 100%, 66.6667%, 66.6667%
L’Eau De Leopardi (Verbena Spritz) Jardins d’Ecrivains for women and men,for women and men, - citrus - white floral - fresh spicy - aromatic - green - fresh, 16.6667%, 5.55556%, 77.7778%, 100%, 33.3333%, 0%, 0%, 0%, 0%, 100%, 50%, 50%, 50%, 50%
L’Eau De Marceline (Floral Infusion) Jardins d’Ecrivains for women and men,for women and men, - yellow floral - white floral - sweet - cherry - rose - fruity - woody - aquatic - floral, 19.0476%, 4.7619%, 76.1905%, 0%, 100%, 66.6667%, 33.3333%, 0%, 25%, 75%, 25%, 75%, 100%, 25%
La Dame aux Camelias - Night Cologne Jardins d’Ecrivains for women,for women, - powdery - floral - rose - citrus - aromatic - iris - musky - sweet - white floral - warm spicy, 33.7838%, 12.6126%, 53.6036%, 69.8113%, 100%, 13.2075%, 45.283%, 1.88679%, 45.7143%, 100%, 74.2857%, 68.5714%, 82.8572%, 77.1429%
